('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.003    0.003 ssl.py:4(<module>)
       19    0.000    0.000    0.000    0.000 parse.py:420(urlsplit)
        1    0.000    0.000    0.051    0.051 __init__.py:117(__init__)
        5    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      107    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
        1    0.000    0.000    0.058    0.058 __init__.py:8(<module>)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
  218/216    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 {built-in method today}
    31/26    0.000    0.000    0.006    0.000 css_parser.py:704(parse_pseudo_open)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      358    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      142    0.000    0.000    0.000    0.000 os.py:748(encode)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
      399    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.017    0.017 connectionpool.py:1(<module>)
      182    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      151    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       45    0.000    0.000    0.002    0.000 css_parser.py:997(<listcomp>)
      224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:2075(__init__)
    15/11    0.000    0.000    0.000    0.000 typing.py:347(__getitem__)
